timeStamp,elapsed,label,responseCode,reponseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.61E+12,1148,Login page,200,OK,Users 1-49,text,TRUE,,39366,268,6,6,https://qa.cilsy.id/symfony/web/index.php,11,0,3
1.61E+12,11,Login page-0,301,Moved Permanently,Users 1-49,text,TRUE,,581,134,6,6,http://qa.cilsy.id/symfony/web/index.php,11,0,3
1.61E+12,1137,Login page-1,200,OK,Users 1-49,text,TRUE,,38785,134,6,6,https://qa.cilsy.id/symfony/web/index.php,1135,0,674
1.61E+12,2149,Login page,200,OK,Users 1-47,text,TRUE,,39366,268,6,6,https://qa.cilsy.id/symfony/web/index.php,1011,0,4
1.61E+12,1011,Login page-0,301,Moved Permanently,Users 1-47,text,TRUE,,581,134,6,6,http://qa.cilsy.id/symfony/web/index.php,1011,0,4
1.61E+12,1138,Login page-1,200,OK,Users 1-47,text,TRUE,,38785,134,6,6,https://qa.cilsy.id/symfony/web/index.php,1134,0,676
1.61E+12,251,"Attendance, Employee Record",200,OK,Users 1-48,text,TRUE,,39429,332,6,6,https://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,10,0,0
1.61E+12,10,"Attendance, Employee Record-0",301,Moved Permanently,Users 1-48,text,TRUE,,645,166,6,6,http://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,10,0,0
1.61E+12,241,"Attendance, Employee Record-1",200,OK,Users 1-48,text,TRUE,,38784,166,6,6,https://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,236,0,0
1.61E+12,238,Employee List,200,OK,Users 1-46,text,TRUE,,39423,326,6,6,https://qa.cilsy.id/symfony/web/index.php/pim/viewEmployeeList/reset/1,5,0,0
1.61E+12,5,Employee List-0,301,Moved Permanently,Users 1-46,text,TRUE,,639,163,6,6,http://qa.cilsy.id/symfony/web/index.php/pim/viewEmployeeList/reset/1,5,0,0
1.61E+12,233,Employee List-1,200,OK,Users 1-46,text,TRUE,,38784,163,6,6,https://qa.cilsy.id/symfony/web/index.php/pim/viewEmployeeList/reset/1,227,0,0
1.61E+12,262,"Admin, General Information",200,OK,Users 1-49,text,TRUE,,39447,350,5,5,https://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,6,0,0
1.61E+12,6,"Admin, General Information-0",301,Moved Permanently,Users 1-49,text,TRUE,,663,175,5,5,http://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,6,0,0
1.61E+12,256,"Admin, General Information-1",200,OK,Users 1-49,text,TRUE,,38784,175,5,5,https://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,251,0,0
1.61E+12,258,Employee List,200,OK,Users 1-48,text,TRUE,,39423,326,5,5,https://qa.cilsy.id/symfony/web/index.php/pim/viewEmployeeList/reset/1,4,0,0
1.61E+12,4,Employee List-0,301,Moved Permanently,Users 1-48,text,TRUE,,639,163,5,5,http://qa.cilsy.id/symfony/web/index.php/pim/viewEmployeeList/reset/1,4,0,0
1.61E+12,253,Employee List-1,200,OK,Users 1-48,text,TRUE,,38784,163,5,5,https://qa.cilsy.id/symfony/web/index.php/pim/viewEmployeeList/reset/1,247,0,0
1.61E+12,279,"Admin, General Information",200,OK,Users 1-47,text,TRUE,,39447,350,4,4,https://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,5,0,0
